section,title,description,priceText,priceCents,imageUrl,uuid
Mix Chicken Combo 鸡块套餐,8Pc Combo 鸡块套餐8Pc,,$34.99,3499,https://tb-static.uber.com/prod/image-proc/processed_images/8f6ecc615769497cfef818d26ec657b6/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,94ace51b-bfeb-5c60-ad24-a795d8a6bd4f
Mix Chicken Combo 鸡块套餐,12Pc Combo 鸡块套餐12Pc,,$44.99,4499,https://tb-static.uber.com/prod/image-proc/processed_images/8f6ecc615769497cfef818d26ec657b6/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,85722c9d-0b34-5b38-a195-d4822e8557ba
Chicken Wings 鸡翅系列,Crispy Chicken Wings 6Pc 香酥鸡翅6Pc,,$9.99,999,https://tb-static.uber.com/prod/image-proc/processed_images/f949c2924c41345a19b624fe34cd6bcb/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,bfce1c47-e39b-5317-9085-df69bfff02b0
Chicken Wings 鸡翅系列,Spicy Chicken Wings 12Pc 香辣鸡翅12Pc,,$17.99,1799,https://tb-static.uber.com/prod/image-proc/processed_images/f949c2924c41345a19b624fe34cd6bcb/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,a11503aa-c4e1-5b22-8356-f450e2034e75
Chicken Wings 鸡翅系列,Spicy Chicken Wings 20Pc 香辣鸡翅20Pc,,$29.99,2999,https://tb-static.uber.com/prod/image-proc/processed_images/f949c2924c41345a19b624fe34cd6bcb/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,052ff1c1-126c-5d6c-ade2-7eccf793ab91
Chicken Wings 鸡翅系列,Grill Chicken Wings 4Pc 秘制烤鸡翅4Pc,,$7.99,799,https://tb-static.uber.com/prod/image-proc/processed_images/0bf71a009b0712f9aedd1021ec267a1f/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,5a35a97b-b0cb-5ecf-af69-2d76ccce7d4c
Chicken Wings 鸡翅系列,Grill Chicken Wings 10Pc 秘制烤鸡翅10Pc,,$14.99,1499,https://tb-static.uber.com/prod/image-proc/processed_images/0bf71a009b0712f9aedd1021ec267a1f/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,76d97d62-90af-567a-a181-304504a9c2e3
Chicken Wings 鸡翅系列,Grill Chicken Wings 20Pc 秘制烤鸡翅20Pc,,$29.99,2999,https://tb-static.uber.com/prod/image-proc/processed_images/0bf71a009b0712f9aedd1021ec267a1f/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,bf974ef2-35e6-5754-8249-04a4dbb0d497
Chicken Tender Combo 鸡柳套餐,Combo 3Pc Tenders 3Pc鸡柳套餐,,$14.99,1499,https://tb-static.uber.com/prod/image-proc/processed_images/d51939bf0aabedd4ec067bebda7b8b5b/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,53fbd731-140f-53d7-8e1f-d999e2ffc47f
Chicken Tender Combo 鸡柳套餐,Combo 5Pc Tenders 5Pc鸡柳套餐,,$19.99,1999,https://tb-static.uber.com/prod/image-proc/processed_images/d51939bf0aabedd4ec067bebda7b8b5b/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,4ff8084e-faf3-54ce-9461-01498fc3dde0
Chicken Tender Combo 鸡柳套餐,Combo 8Pc Tenders 8Pc鸡柳套餐,"2 L side
4 biscuits",$34.99,3499,https://tb-static.uber.com/prod/image-proc/processed_images/8cd6c9050c3615efc61253ab82deadfe/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,b5511028-086a-5094-b981-6af34aa6675a
Chicken Tender Combo 鸡柳套餐,Combo 12Pc Tenders 12Pc鸡柳套餐,"2 L side
6 biscuits",$44.99,4499,https://tb-static.uber.com/prod/image-proc/processed_images/8cd6c9050c3615efc61253ab82deadfe/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,56055ca0-ee8a-508c-b5ef-6b0168af1b4c
